station_name,station_type,num_chargers,latitude,longitude
Okotoks Chevrolet Buick GMC,Level 2,1,50.7456837911319,-113.976822523173
Bragg Creek Community Center,Level 2,4,50.949793,-114.561263
Okotoks Municipal Centre,Level 2,1,50.725494,-113.974947
TOWN OF OKOTOKS STATION 2,Level 2,2,50.72481,-113.978004
Okotoks Ford,Level 2,1,50.7169700726322,-113.982820229641
Murray Chrysler Dodge Jeep Ram,Level 2,1,50.7155305747829,-113.981666760503
Petro-Canada Aldersyde,Level 3,4,50.6959386009858,-113.886560268324
Crossfield Petro Canada,Level 2,1,51.412952,-114.000137
Hypercharge - Town Diamond Valley,Level 2,4,50.6881031169159,-114.236557846884
Hypercharge - Black Diamond Park & Ride,Level 2,2,50.6890348016075,-114.241785039536
Petro-Canada,Level 2,1,51.413889999999995,-114.0004023785736
Hypercharge - Oilfields Regional Arena,Level 3,2,50.6825028517501,-114.238777409785
The Shop Turner Valley,Level 2,1,50.6733398322091,-114.277745708426
Sprung Instant Structures,Level 2,2,50.6701849972127,-113.878472861462
Golden Hills School Division,Level 2,2,51.037416130188,-113.399688889012
Canadian Tire Corp,Level 2 + Level 3,3,51.03609,-113.38955
"Strathmore, Ab Supercharger",Level 3,6,51.038196,-113.378637
Peavey Mart,Level 2,1,51.0380370519,-113.37476296
